S.No,Bigram,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,Is First Letter Capitalized,POS
68,for a,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.2846395794758118,0.002391929239292536,No,"['IN', 'DT']"
69,a chariot,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['DT', 'NN']"
70,chariot that,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'IN']"
71,that could,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.1139433523068367,0.00936086850678014,No,"['DT', 'MD']"
72,could traverse,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['MD', 'VB']"
73,traverse the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'DT']"
74,the entire,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.4372497426819702,0.0036743675855627745,No,"['DT', 'JJ']"
75,entire universe,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'NN']"
76,"universe unhindered,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'NN']"
77,"unhindered, strike",0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['VBD', ',', 'NN']"
78,strike terror,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'NN']"
79,terror in,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['NN', 'IN']"
80,in the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.03476210625921191,0.0002921185399933774,No,"['IN', 'DT']"
81,the hearts,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.9378520932511555,0.007881110027320634,No,"['DT', 'NNS']"
82,hearts of,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.0170333392987803,0.008546498649569582,No,"['NNS', 'IN']"
83,of the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.01680672268907563,0.008433167536862764,0.00014173390818256746,No,"['IN', 'DT']"
84,"the Yadavas,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['DT', 'NN']"
85,"Yadavas, and",0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', ',', 'CC']"
86,and also,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.6020599913279624,0.0050593276582181716,No,"['CC', 'RB']"
87,also help,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['RB', 'VBP']"
88,help him,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.9378520932511555,0.007881110027320634,No,"['NN', 'PRP']"
89,him from,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.6020599913279624,0.0050593276582181716,No,"['PRP', 'IN']"
90,from succumbing,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['IN', 'VBG']"
91,succumbing to,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['VBG', 'TO']"
92,to the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.01703333929878037,0.0001431373050317678,No,"['TO', 'DT']"
93,the attacks,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['DT', 'NNS']"
94,attacks of,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNS', 'IN']"
95,of the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.01680672268907563,0.008433167536862764,0.00014173390818256746,No,"['IN', 'DT']"
96,"the celestials,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.1139433523068367,0.00936086850678014,No,"['DT', 'NN']"
97,"celestials, asuras,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNS', ',', 'NNP']"
98,"asuras, mortals,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNS', ',', 'NNP']"
99,"mortals, gandharvas,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNS', ',', 'NNP']"
100,"gandharvas, reptiles",0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNS', ',', 'NNS']"
101,reptiles or,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNS', 'CC']"
102,or rakshasas,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['CC', 'VBD']"
103,Ordered by,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', 'IN']"
104,"by Shiva,",0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['IN', 'JJ']"
105,"Shiva, the",0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['NNP', ',', 'DT']"
106,the asura,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.6746106584765741,0.005668997130055244,No,"['DT', 'NN']"
107,asura architect,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'NN']"
108,architect Maya,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'NNP']"
109,Maya created,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', 'VBD']"
110,created an,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['VBD', 'DT']"
111,an iron,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['DT', 'NN']"
112,iron chariot,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'VBD']"
113,chariot named,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NN', 'VBD']"
114,"named Soubha,",0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['VBD', 'JJ']"
115,"Soubha, and",0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['NNP', ',', 'CC']"
116,and gave,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.2388820889151366,0.010410773856429719,No,"['CC', 'VBD']"
117,gave it,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.1139433523068367,0.00936086850678014,No,"['VBD', 'PRP']"
118,it to,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,0.5399120845791179,0.004537076341000991,No,"['PRP', 'TO']"
119,to Salva.,0 0 5,"['query', 'body', 'statement', 'word']",{},0.008403361344537815,1.414973347970818,0.011890532335889227,No,"['TO', 'NNP', '.']"
